Product id,Product Ref,Color Code,Product Supplier,Component category,Component Supplier Code,Component Ref,weight,Composition,Raw material,Process Step,Climate change - kg CO2 eq,Land use - Pt,Water use - m3 eq,Acidification - mol H+ eq,Ozone depletion - kg CFC-11 eq,Ionising radiation - kg U235 eq,Particulate matter - Disease occurence,Resource use fossils - MJ,Climate change fossil - kg CO2 eq,Eutrophication marine - kg N eq,Human toxicity cancer - CTUh,Climate change landuse - kg CO2 eq,Climate change biogenic - kg CO2 eq,Ecotoxicity fresh water - CTUe,Eutrophication freshwater - kg P eq,Human toxicity non cancer - CTUh,Eutrophication terrestrial - mol N eq,Resource use minerals metals - kg SB eq,Photochemical ozone formation - kg NMVOC eq,material_id,component_id,source
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,CHOICE_PLOT_357,,,,362,,,PRODUCT IMPACT,8.53022975,415.61786241,18.913783529,0.062725961,0.000000066,1.142926016,0.000000431,112.823738732,0.483424736,0.055931041,0.000000002,0,0.000201146,146.264757642,0.010390542,0.000000001,0.178621666,0.000010028,0.027534418,,,PRODUCT_IMPACT
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,END_OF_LIFE,0.421685533,0.001853482,0,0.000148821,0,-0.050934633,0.000000001,-0.428232344,0,0.000254117,0,0,0,0,0.000003234,0,0.00089324,0.00000002,0.000374575,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,USE_PHASE,0.146059515,0.654452211,0.041168128,0.00062378,0.000000006,0.990047722,0.000000008,21.784539151,0,0.000185,0,0,0,0.850094766,0.000028826,0,0.001365552,0.000001185,0.000341913,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,DISTRIBUTION,0.048793075,0,0,0.000305329,0,0.005930194,0.000000004,0.72498102,0,0.000154186,0,0,0,0,0.000000018,0,0.00161059,0.000000162,0.000303713,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,WAREHOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,PRODUCT_TRANSPORT,0.140967245,0.052088274,0.001779982,0.002697705,0.000000001,0.00613775,0.000000013,1.888314806,0.083427041,0.00084245,0,0,0,0.36350925,0.000002007,0,0.009335987,0.00000028,0.002100302,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,,,,,,,MANUFACTURING,0.551370298,0.935351683,0.049723229,0.002718689,0.000000004,0.012534806,0.000000008,6.690269664,0,0.000542048,0,0,0,0.822334385,0.000290372,0,0.005660386,0.000000384,0.001465547,,,PRODUCT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,271.5,,,COMPONENT IMPACT,5.416477108,310.480587571,14.115834143,0.042179162,0.000000041,0.134439718,0.000000297,61.629450783,0.300459815,0.040467222,0.000000001,0,0.000150859,108.171614431,0.007549563,0.000000001,0.119842392,0.000005999,0.017215817,,02ed6a07-4ba8-49a1-8cfd-130effa9b410,COMPONENT_IMPACT
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,,,WEAVING,1.540421728,3.544431142,0.128679201,0.007763351,0.000000018,0.0581536,0.000000029,19.828132765,0.113525466,0.001492296,0,0,0.000150859,2.128126714,0.00082041,0,0.015143811,0.000003138,0.004022039,,02ed6a07-4ba8-49a1-8cfd-130effa9b410,COMPONENT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,,,SPINNING,1.882038079,3.192713668,0.169724431,0.009279928,0.000000014,0.042786095,0.000000026,22.836453689,0,0.001850218,0,0,0,2.806942327,0.000991151,0,0.019321068,0.00000131,0.005002473,,02ed6a07-4ba8-49a1-8cfd-130effa9b410,COMPONENT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,,,COMPONENT_TRANSPORT,0.186934349,0,0,0.002201001,0,0.012994952,0.000000026,2.653261731,0.186934349,0.000928642,0,0,0,0,0.00000021,0,0.01031154,0.000000504,0.001839193,,02ed6a07-4ba8-49a1-8cfd-130effa9b410,COMPONENT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,,,DYEING,1.516875411,6.663907691,0.064312488,0.009844685,0.000000009,0.018903,0.000000132,15.606286705,0,0.001491262,0.000000001,0,0,100.990667285,0.000558752,0,0.015673106,0.000000656,0.004533121,,02ed6a07-4ba8-49a1-8cfd-130effa9b410,COMPONENT_LIFECYCLE_STEP
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,1,REGENERATIVE COTTON,MATERIAL IMPACT,0.290207541,297.07953507,13.753118023,0.013090196,0,0.001602071,0.000000084,0.705315892,0,0.034704805,0,0,0,2.245878106,0.005179041,0,0.059392867,0.00000039,0.001818992,11d9db8d-8fc3-45bd-820b-295ef8543a8f,02ed6a07-4ba8-49a1-8cfd-130effa9b410,MATERIAL_IMPACT
0f6b4696-e03b-4339-96ed-f35546696e21,2616093001,DEFAULT,,MAIN FABRIC (WOVEN),2616093001_MAIN FABRIC,2616093001_MAIN FABRIC_REANALYSIS,,1,REGENERATIVE COTTON,RAW_MATERIAL_MODEL,0.290207541,297.07953507,13.753118023,0.013090196,0,0.001602071,0.000000084,0.705315892,0,0.034704805,0,0,0,2.245878106,0.005179041,0,0.059392867,0.00000039,0.001818992,11d9db8d-8fc3-45bd-820b-295ef8543a8f,02ed6a07-4ba8-49a1-8cfd-130effa9b410,MATERIAL_LIFECYCLE_STEP
